"#""Bin Edge short", Bin Edge long, Bin center," Bin width"""
2.8627040,2.9336750,2.8981895,0.0354855
2.9336750,3.0046460,2.9691605,0.0354855
3.0046460,3.0756170,3.0401315,0.0354855
3.0756170,3.1465880,3.1111025,0.0354855
3.1465880,3.2175590,3.1820735,0.0354855
3.2175590,3.2885300,3.2530445,0.0354855
3.2885300,3.3595010,3.3240155,0.0354855
3.3595010,3.4304720,3.3949865,0.0354855
3.4304720,3.5014430,3.4659575,0.0354855
3.5014430,3.5724140,3.5369285,0.0354855
3.5724140,3.6433850,3.6078995,0.0354855
3.6433850,3.7143560,3.6788705,0.0354855
3.8199180,3.8863689,3.8531434,0.0332254
3.8863689,3.9528198,3.9195943,0.0332254
3.9528198,4.0192707,3.9860452,0.0332254
4.0192707,4.0857216,4.0524961,0.0332254
4.0857216,4.1521725,4.1189470,0.0332254
4.1521725,4.2186234,4.1853979,0.0332254
4.2186234,4.2850743,4.2518488,0.0332254
4.2850743,4.3515252,4.3182997,0.0332254
4.3515252,4.4179761,4.3847506,0.0332254
4.4179761,4.4844269,4.4512015,0.0332254
4.4844269,4.5508778,4.5176524,0.0332254
4.5508778,4.6173287,4.5841033,0.0332254
4.6173287,4.6837796,4.6505542,0.0332254
4.6837796,4.7502305,4.7170051,0.0332254
4.7502305,4.8166814,4.7834560,0.0332254
4.8166814,4.8831323,4.8499069,0.0332254
4.8831323,4.9495832,4.9163578,0.0332254
4.9495832,5.0160341,4.9828087,0.0332254
5.0160341,5.0824850,5.0492596,0.0332254