# bin_edges_short,bin_edges_long,bin_centers,bin_widths
2.8242648E+00,2.8526494E+00,2.8384571E+00,2.8384571E-02
2.8526494E+00,2.8813192E+00,2.8669843E+00,2.8669843E-02
2.8813192E+00,2.9102772E+00,2.8957982E+00,2.8957982E-02
2.9102772E+00,2.9395262E+00,2.9249017E+00,2.9249017E-02
2.9395262E+00,2.9690692E+00,2.9542977E+00,2.9542977E-02
2.9690692E+00,2.9989091E+00,2.9839891E+00,2.9839891E-02
2.9989091E+00,3.0290489E+00,3.013979E+00,3.013979E-02
3.0290489E+00,3.0594916E+00,3.0442702E+00,3.0442702E-02
3.0594916E+00,3.0902402E+00,3.0748659E+00,3.0748659E-02
3.0902402E+00,3.1212979E+00,3.1057691E+00,3.1057691E-02
3.1212979E+00,3.1526678E+00,3.1369828E+00,3.1369828E-02
3.1526678E+00,3.1843529E+00,3.1685103E+00,3.1685103E-02
3.1843529E+00,3.2163564E+00,3.2003546E+00,3.2003546E-02
3.2163564E+00,3.2486816E+00,3.232519E+00,3.232519E-02
3.2486816E+00,3.2813317E+00,3.2650066E+00,3.2650066E-02
3.2813317E+00,3.309E+00,3.2951658E+00,2.7668339E-02
3.309E+00,3.3475E+00,3.32825E+00,3.85E-02
3.3475E+00,3.3812639E+00,3.364382E+00,3.3763933E-02
3.3812639E+00,3.4152465E+00,3.3982552E+00,3.3982552E-02
3.4152465E+00,3.4495706E+00,3.4324085E+00,3.4324085E-02
3.4495706E+00,3.4842396E+00,3.4669051E+00,3.4669051E-02
3.4842396E+00,3.5192571E+00,3.5017484E+00,3.5017484E-02
3.5192571E+00,3.5546265E+00,3.5369418E+00,3.5369418E-02
3.5546265E+00,3.5903514E+00,3.572489E+00,3.572489E-02
3.5903514E+00,3.6264353E+00,3.6083934E+00,3.6083934E-02
3.6264353E+00,3.6628819E+00,3.6446586E+00,3.6446586E-02
3.6628819E+00,3.6996948E+00,3.6812884E+00,3.6812884E-02
3.6996948E+00,3.7368777E+00,3.7182862E+00,3.7182862E-02
3.8123683E+00,3.8506835E+00,3.8315259E+00,3.8315259E-02
3.8506835E+00,3.8893838E+00,3.8700337E+00,3.8700337E-02
3.8893838E+00,3.9284731E+00,3.9089285E+00,3.9089285E-02
3.9284731E+00,3.9679553E+00,3.9482142E+00,3.9482142E-02
3.9679553E+00,4.0078342E+00,3.9878947E+00,3.9878947E-02
4.0078342E+00,4.048114E+00,4.0279741E+00,4.0279741E-02
4.048114E+00,4.0887985E+00,4.0684562E+00,4.0684562E-02
4.0887985E+00,4.129892E+00,4.1093453E+00,4.1093453E-02
4.129892E+00,4.1713984E+00,4.1506452E+00,4.1506452E-02
4.1713984E+00,4.213322E+00,4.1923602E+00,4.1923602E-02
4.213322E+00,4.255667E+00,4.2344945E+00,4.2344945E-02
4.255667E+00,4.2984375E+00,4.2770522E+00,4.2770522E-02
4.2984375E+00,4.3416379E+00,4.3200377E+00,4.3200377E-02
4.3416379E+00,4.3852724E+00,4.3634552E+00,4.3634552E-02
4.3852724E+00,4.4293455E+00,4.407309E+00,4.407309E-02
4.4293455E+00,4.4738616E+00,4.4516035E+00,4.4516035E-02
4.4738616E+00,4.518825E+00,4.4963433E+00,4.4963433E-02
4.518825E+00,4.5642403E+00,4.5415326E+00,4.5415326E-02
4.5642403E+00,4.6101121E+00,4.5871762E+00,4.5871762E-02
4.6101121E+00,4.6564449E+00,4.6332785E+00,4.6332785E-02
4.6564449E+00,4.7032433E+00,4.6798441E+00,4.6798441E-02
4.7032433E+00,4.7505121E+00,4.7268777E+00,4.7268777E-02
4.7505121E+00,4.7982559E+00,4.774384E+00,4.774384E-02
4.7982559E+00,4.8464796E+00,4.8223678E+00,4.8223678E-02
4.8464796E+00,4.8951879E+00,4.8708338E+00,4.8708338E-02
4.8951879E+00,4.9443858E+00,4.9197869E+00,4.9197869E-02
4.9443858E+00,4.9940781E+00,4.969232E+00,4.969232E-02
4.9940781E+00,5.0442699E+00,5.019174E+00,5.019174E-02
5.0442699E+00,5.094966E+00,5.0696179E+00,5.0696179E-02